region,event_month,supply_source,demande_source,plateforme_AE,device_type,revenue
France,2025-04-01,Onsite,Sales Driven Direct,DM Network,Web+App,54128.313501385594
France,2025-05-01,Onsite,Sales Driven Direct,DM Network,Web+App,44650.04562212911
France,2025-05-01,Audience Extension,Sales Driven Direct,DV360,Web+App,223548.78939921324
France,2025-07-01,Offsite,Sales Driven Direct,DM Network,Web+App,492266.69975109026
France,2025-06-01,Audience Extension,Sales Driven Direct,DV360,Web+App,206207.13202196418
France,2025-02-01,Audience Extension,Sales Driven Direct,DV360,Web+App,135441.09677357809
France,2025-06-01,Offsite,Sales Driven Direct,DM Network,Web+App,1084972.4708475722
France,2025-05-01,Offsite,Sales Driven Direct,DM Network,Web+App,652829.39010592829
France,2025-01-01,Onsite,Sales Driven Direct,DM Network,Web+App,19334.20476734679
France,2025-03-01,Offsite,Sales Driven Direct,DM Network,Web+App,882348.00946015341
France,2025-02-01,Onsite,Sales Driven Direct,DM Network,Web+App,21785.446752973414
France,2025-04-01,Audience Extension,Sales Driven Direct,DV360,Web+App,80547.880307899584
France,2025-07-01,Onsite,Sales Driven Direct,DM Network,Web+App,17089.150286694115
France,2025-07-01,Audience Extension,Sales Driven Direct,DV360,Web+App,62116.538122624654
France,2025-03-01,Audience Extension,Sales Driven Direct,DV360,Web+App,151081.99733015819
France,2025-02-01,Offsite,Sales Driven Direct,DM Network,Web+App,355861.89948037977
France,2025-01-01,Audience Extension,Sales Driven Direct,DV360,Web+App,33479.593777898561
France,2025-04-01,Audience Extension,Sales Driven Direct,Spring Serve,CTV,48939.193224351387
France,2025-04-01,Offsite,Sales Driven Direct,DM Network,Web+App,752282.55462888547
France,2025-02-01,Audience Extension,Sales Driven Direct,Spring Serve,CTV,5603.0809862487213
France,2025-06-01,Onsite,Sales Driven Direct,DM Network,Web+App,63529.344712309219
France,2025-03-01,Onsite,Sales Driven Direct,DM Network,Web+App,67021.764855272122
France,2025-03-01,Audience Extension,Sales Driven Direct,Spring Serve,CTV,54820.425219964236
France,2025-01-01,Offsite,Sales Driven Direct,DM Network,Web+App,373457.4068602621
International,2025-07-01,Audience Extension,Sales Driven Direct,Xandr Curator,Web+App,71754.3
Italy,2025-05-01,Audience Extension,Sales Driven Direct,Spring Serve,CTV,9333.4248263720037
Italy,2025-04-01,Audience Extension,Sales Driven Direct,Spring Serve,CTV,26277.394250581645
Italy,2025-03-01,Audience Extension,Sales Driven Direct,Spring Serve,CTV,270.92981376929862
LATAM,2025-02-01,Audience Extension,Sales Driven Direct,DV360,Web+App,22680.7548426082
LATAM,2025-02-01,Offsite,Sales Driven Direct,DM Network,Web+App,2220.171514158827
LATAM,2025-03-01,Offsite,Sales Driven Direct,DM Network,Web+App,830.08905259569281
LATAM,2025-05-01,Offsite,Sales Driven Direct,DM Network,Web+App,1950.5898903954499
LATAM,2025-05-01,Audience Extension,Sales Driven Direct,DV360,Web+App,45180.654267945058
LATAM,2025-06-01,Offsite,Sales Driven Direct,DM Network,Web+App,34.689410880311584
LATAM,2025-06-01,Onsite,Sales Driven Direct,DM Network,Web+App,10992.882428031857
LATAM,2025-07-01,Onsite,Sales Driven Direct,DM Network,Web+App,106.79613339623259
LATAM,2025-04-01,Offsite,Sales Driven Direct,DM Network,Web+App,590.60333096810712
LATAM,2025-03-01,Audience Extension,Sales Driven Direct,DV360,Web+App,55603.4461792619
LATAM,2025-05-01,Onsite,Sales Driven Direct,DM Network,Web+App,5624.219868310136
LATAM,2025-01-01,Onsite,Sales Driven Direct,DM Network,Web+App,9957.0663387191271
LATAM,2025-02-01,Onsite,Sales Driven Direct,DM Network,Web+App,8877.20289189885
LATAM,2025-07-01,Offsite,Sales Driven Direct,DM Network,Web+App,8.1815986506016358
LATAM,2025-06-01,Audience Extension,Sales Driven Direct,DV360,Web+App,91647.749365951546
LATAM,2025-03-01,Onsite,Sales Driven Direct,DM Network,Web+App,2137.9306152324448
LATAM,2025-04-01,Onsite,Sales Driven Direct,DM Network,Web+App,1943.6475762325078
LATAM,2025-04-01,Audience Extension,Sales Driven Direct,DV360,Web+App,46221.029162728664
LATAM,2025-01-01,Offsite,Sales Driven Direct,DM Network,Web+App,793.67132274258461
